epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.73146,1.0595,4.13586,1.02701,0.01946,0.75155,0.24982,0.10663,0.95415,3.72702,0.92228,6.25e-05,6.25e-05,6.25e-05
2,6.24837,0.66946,4.36723,0.76934,0.03336,0.89441,0.76721,0.58248,0.64579,3.54426,0.82599,0.000132962,0.000132962,0.000132962
3,8.13931,0.78005,1.93504,0.88862,0.07295,0.91304,0.75191,0.55447,0.61873,3.37238,0.8335,0.000198475,0.000198475,0.000198475
4,9.98263,0.60789,1.34306,0.88591,0.10286,0.89441,0.64312,0.52505,0.55776,3.25511,0.83124,0.000259038,0.000259038,0.000259038
5,11.7724,0.62875,1.47484,0.85608,0.05688,0.62112,0.16603,0.13397,0.49772,3.3569,0.83042,0.00031465,0.00031465,0.00031465
6,13.2413,0.64276,1.14988,0.864,0.0497,0.91925,0.65392,0.56962,0.54212,3.18054,0.84477,0.000365313,0.000365313,0.000365313
7,14.8407,0.56163,1.12912,0.82799,0.03899,0.96894,0.94763,0.83808,0.51887,2.78785,0.84129,0.000411025,0.000411025,0.000411025
8,16.3092,0.59353,1.05112,0.85974,0.03558,0.96894,0.96569,0.8467,0.47284,2.86609,0.83026,0.000451787,0.000451787,0.000451787
9,18.2398,0.74064,1.36793,0.90203,0.03646,0.97516,0.972,0.85087,0.45873,2.73555,0.8228,0.0004876,0.0004876,0.0004876
10,19.6212,0.4063,2.14118,0.69731,1,0.1576,0.9648,0.88193,0.43355,2.543,0.81918,0.000518462,0.000518462,0.000518462
11,21.0379,0.49518,0.92522,0.84349,0.98444,0.39306,0.96085,0.8568,0.48414,2.35435,0.82993,0.000544375,0.000544375,0.000544375
12,22.3905,0.49684,0.89707,0.85093,0.98989,0.60827,0.96476,0.86035,0.45314,2.1035,0.82379,0.000565338,0.000565338,0.000565338
13,23.7201,0.49792,1.03535,0.87201,1,0.72883,0.97227,0.89843,0.41548,2.0614,0.82393,0.00058135,0.00058135,0.00058135
14,25.2795,0.44106,0.963,0.82576,0.9933,0.92116,0.97303,0.89666,0.41407,1.8722,0.8258,0.000592413,0.000592413,0.000592413
15,27.2621,0.45417,0.84883,0.82373,0.98694,0.93845,0.97404,0.90623,0.40191,1.67416,0.82301,0.000598525,0.000598525,0.000598525
16,2.51803,0.49032,0.84496,0.85309,0.98721,0.95866,0.97967,0.91545,0.44777,1.41302,0.86419,0.00063125,0.00063125,0.00063125
17,4.12095,0.49858,0.8423,0.84805,0.985,0.96894,0.98285,0.91961,0.42961,1.2091,0.86246,0.00059,0.00059,0.00059
18,5.9365,0.47045,1.04872,0.8469,0.04357,0.90683,0.04272,0.03846,0.46101,inf,0.88151,0.00054875,0.00054875,0.00054875
19,7.44967,0.46168,0.99742,0.84081,0.03817,0.80115,0.03626,0.033,0.43356,72.6311,0.85885,0.0005075,0.0005075,0.0005075
20,9.00549,0.42579,0.88944,0.84099,0.07585,0.7205,0.07088,0.06559,0.4166,8.03557,0.85812,0.00046625,0.00046625,0.00046625
21,11.1453,0.4033,0.9668,0.81632,0.98154,0.96273,0.97397,0.91763,0.41976,0.72754,0.86695,0.000425,0.000425,0.000425
22,12.8702,0.39678,0.97876,0.80239,0.98117,0.96894,0.98038,0.91131,0.43062,0.64426,0.86825,0.00038375,0.00038375,0.00038375
23,14.4662,0.39913,0.94046,0.80941,0.9872,0.97516,0.98256,0.91924,0.42607,0.64186,0.86878,0.0003425,0.0003425,0.0003425
24,16.0804,0.42663,1.03776,0.8486,0.98659,0.97516,0.9841,0.92926,0.39397,0.6128,0.86523,0.00030125,0.00030125,0.00030125
25,17.8331,0.38649,0.96353,0.81127,0.98683,0.97516,0.98428,0.93226,0.38716,0.5883,0.86178,0.00026,0.00026,0.00026
26,19.5334,0.38615,0.98713,0.82338,0.993,0.97516,0.98481,0.92105,0.40029,0.57721,0.86528,0.00021875,0.00021875,0.00021875
27,21.5199,0.35119,0.84602,0.81822,0.9937,0.98034,0.98509,0.93049,0.39368,0.58001,0.86528,0.0001775,0.0001775,0.0001775
28,23.1204,0.34395,0.86224,0.79632,0.99371,0.98051,0.98515,0.94335,0.38481,0.57888,0.86471,0.00013625,0.00013625,0.00013625
29,24.8105,0.35549,0.88484,0.80543,0.99371,0.98064,0.98533,0.94281,0.36974,0.57467,0.86192,9.5e-05,9.5e-05,9.5e-05
30,26.4502,0.31002,0.83904,0.79122,0.99371,0.98065,0.98542,0.9466,0.36613,0.57226,0.86121,5.375e-05,5.375e-05,5.375e-05
